domain,ipv4,ip_network,update_date,due_date
HTTPS://khn.hrfp.ir,194.62.17.98/32,194.62.17.98/32,1400/09/08,1400/09/15
Http://Freetwitterbot.xyz,37.32.10.225/32,37.32.10.225/32,1401/11/24,1401/12/15
Http://Hubapi.tetrapuzzle.com,193.3.231.246/32,193.3.231.246/32,1401/04/29,1401/05/15
Https://Davazdah.shop,5.144.130.43/32,5.144.130.43/32,1401/02/05,1401/02/15
Https://Media.TheWorkShop.Ir,185.255.90.105/32,185.255.90.105/32,1401/05/04,1401/05/15
Https://arzonfollower.ir,78.157.38.76/32,78.157.38.76/32,1401/11/08,1401/11/15
Https://delakook.ir,185.128.137.208/32,185.128.137.208/32,1401/07/09,1401/07/15
Https://eschool.nikan.org,91.92.127.49/32,91.92.127.49/32,1401/04/18,1401/05/15
Https://preez.nikan.org,91.92.127.49/32,91.92.127.49/32,1401/04/18,1401/05/15
Https://sofiakidsclub.ir,158.58.187.211/32,158.58.187.211/32,1401/11/08,1401/11/15
http://0-1.ir,88.135.36.122/32,88.135.36.122/32,1397/08/26,1397/09/15
http://0.214.236.87.mail.iranianwebman.ir,87.236.214.0/32,87.236.214.0/32,1401/05/26,1401/06/15
http://0011.ir,185.51.203.144/32,185.51.203.144/32,1399/05/04,1399/05/15
http://00964.ir,79.175.151.33/32,79.175.151.33/32,1399/05/04,1399/05/15
http://009821.ir,185.94.97.2/32,185.94.97.2/32,1398/05/15,1398/06/15
http://0098charge.ir,185.150.108.108/32,185.150.108.108/32,1399/05/04,1399/05/15
http://01144.ir,178.252.147.52/32,178.252.147.52/32,1399/05/04,1399/05/15
http://01717.ir,87.236.210.4/32,87.236.210.4/32,1399/05/04,1399/05/15
http://0192.dpdonya.com,185.192.112.49/32,185.192.112.49/32,1398/06/30,1398/07/15
http://01charge.ir,185.150.108.108/32,185.150.108.108/32,1399/05/04,1399/05/15
http://01co.net,185.88.152.195/32,185.88.152.195/32,1398/06/20,1398/07/15
http://04436.ir,185.13.231.178/32,185.13.231.178/32,1399/05/04,1399/05/15
http://0816.ir,5.61.25.2/32,5.61.25.2/32,1398/06/13,1398/06/15
http://09192219133.ir,194.5.188.11/32,194.5.188.11/32,1399/05/04,1399/05/15
http://09192529355.ir,45.89.139.224/32,45.89.139.224/32,1399/05/04,1399/05/15
http://09629.info,37.228.138.147/32,37.228.138.147/32,1398/07/01,1398/07/15
http://096440.com,81.31.233.117/32,81.31.233.117/32,1398/02/28,1398/03/15
http://096440.com,94.182.214.196/32,94.182.214.196/32,1399/05/04,1399/05/15
http://096887.ir,91.224.110.39/32,91.224.110.39/32,1399/05/04,1399/05/15
http://0bit.ir,178.22.122.124/32,178.22.122.124/32,1398/12/12,1398/12/15
http://0festival.isti.ir,185.233.15.11/32,185.233.15.11/32,1398/06/16,1398/07/15
http://0km.ir,188.212.22.57/32,188.212.22.57/32,1399/05/04,1399/05/15
http://0shop.ir,185.94.97.12/32,185.94.97.12/32,1398/08/11,1398/08/15
http://0ta.ir,89.39.208.174/32,89.39.208.174/32,1401/07/24,1401/08/15
http://0ta100sanat.salkala.com,185.88.153.78/32,185.88.153.78/32,1398/06/17,1398/07/15
http://0ta9.com,185.112.34.140/32,185.112.34.140/32,1400/01/08,1400/01/15
http://1-b.ir,185.165.116.20/32,185.165.116.20/32,1399/05/04,1399/05/15
http://1-meeting.eslms.ir,185.147.163.175/32,185.147.163.175/32,1400/01/17,1400/02/15
